Avocado Number,Weight (Day 0),Volume (Day 0),Day 0,Weight (Day 1),Volume (Day 1),Day 1,Weight (Day 2),Volume (Day 2),Day 2,Weight (Day 3),Volume (Day 3),Density (Day 3),Weight (Day 4),Volume (Day 4),Density (Day 4),Weight (Day 5),Volume (Day 5),Density (Day 5)
1,182.24,168,1.084761905,181.66,180,1.009222222,181.17,158,1.14664557,180.86,175,1.033485714,180.55,175,1.031714286,180.09,158,1.139810127
2,161.96,152,1.065526316,161,143,1.125874126,160.37,151,1.06205298,159.97,153,1.045555556,159.61,153,1.043202614,159.2,148,1.075675676
3,180.72,165,1.095272727,179.82,172,1.045465116,179.14,156,1.148333333,178.65,173,1.03265896,178.27,170,1.048647059,177.82,168,1.058452381
4,178.37,162,1.101049383,177.78,175,1.015885714,177.29,155,1.143806452,176.82,176,1.004659091,176.49,170,1.038176471,176.11,162,1.087098765
5,164.64,155,1.062193548,163.98,155,1.057935484,163.26,151,1.081192053,162.83,151,1.078344371,162.48,158,1.02835443,161.85,150,1.079
6,165.32,153,1.080522876,164.46,149,1.103758389,163.72,151,1.084238411,163.23,155,1.053096774,162.7,151,1.077483444,162.19,148,1.095878378
7,179.82,178,1.010224719,179.11,178,1.006235955,178.55,152,1.174671053,178.14,169,1.05408284,177.74,170,1.045529412,177.29,160,1.1080625
8,176.03,173,1.017514451,175.32,155,1.131096774,174.62,153,1.14130719,174.16,162,1.075061728,173.74,160,1.085875,173.29,152,1.140065789
9,166.2,162,1.025925926,165.55,165,1.003333333,164.93,151,1.092251656,164.5,155,1.061290323,164.02,155,1.058193548,163.53,149,1.097516779
10,159.03,149,1.067315436,158.22,145,1.091172414,157.42,148,1.063648649,156.98,150,1.046533333,156.66,149,1.051409396,156.17,148,1.055202703
11,182.6,175,1.043428571,181.04,168,1.077619048,180.48,152,1.187368421,179.94,165,1.090545455,179.54,171,1.04994152,179.04,155,1.155096774
12,174.66,171,1.021403509,173.83,149,1.166644295,173.11,159,1.088742138,175.04,163,1.073865031,172.29,157,1.097388535,171.64,149,1.151946309
13,175.04,151,1.159205298,174.49,162,1.077098765,173.95,154,1.129545455,173.53,160,1.0845625,173.22,160,1.082625,172.87,151,1.144834437
14,170.63,168,1.015654762,170.01,160,1.0625625,169.43,152,1.114671053,169.01,155,1.090387097,168.64,159,1.060628931,168.31,151,1.114635762
15,156.61,150,1.044066667,155.84,150,1.038933333,155.21,145,1.070413793,154.64,150,1.030933333,154.12,150,1.027466667,153.59,148,1.03777027
16,168.35,160,1.0521875,167.52,155,1.080774194,166.88,151,1.105165563,166.41,157,1.059936306,166.06,153,1.085359477,165.6,151,1.096688742
17,185.4,188,0.9861702128,184.66,187,0.987486631,183.98,161,1.142732919,183.21,174,1.052931034,182.86,170,1.075647059,182.38,167,1.092095808
18,166.93,158,1.056518987,166.32,157,1.059363057,165.61,151,1.096754967,165.15,153,1.079411765,164.8,172,0.9581395349,164.38,147,1.118231293
19,178.2,173,1.030057803,177.61,172,1.032616279,177.12,158,1.121012658,176.8,166,1.065060241,176.53,161,1.096459627,176.13,155,1.136322581
20,185.65,195,0.9520512821,184.86,185,0.9992432432,184.22,167,1.103113772,183.67,164,1.119939024,183.24,181,1.012375691,182.77,158,1.156772152
21,176.91,186,0.9511290323,176.21,172,1.024476744,175.53,156,1.125192308,175.06,170,1.029764706,174.58,160,1.091125,174.06,151,1.152715232
22,162.04,155,1.045419355,161.4,149,1.083221477,160.63,149,1.078053691,160.1,150,1.067333333,159.72,150,1.0648,159.24,147,1.083265306
23,157.7,151,1.044370861,156.56,150,1.043733333,155.94,151,1.032715232,155.54,148,1.050945946,155.18,149,1.04147651,154.67,149,1.038053691
24,180.38,182,0.9910989011,179.65,171,1.050584795,179.06,152,1.178026316,178.58,170,1.050470588,178.16,175,1.018057143,177.65,153,1.161111111
25,159.56,161,0.9910559006,158.88,151,1.05218543,158.31,153,1.034705882,157.94,147,1.074421769,157.65,149,1.058053691,157.22,147,1.06952381
26,159.84,154,1.037922078,159.3,150,1.062,158.8,149,1.065771812,158.45,150,1.056333333,158.11,157,1.007070064,157.71,149,1.058456376
27,189.24,193,0.9805181347,188.58,182,1.036153846,188.01,162,1.160555556,187.55,180,1.041944444,187.18,188,0.9956382979,186.74,170,1.098470588
28,162.06,153,1.059215686,161.46,144,1.12125,160.92,154,1.044935065,160.51,150,1.070066667,160.22,152,1.054078947,159.81,151,1.058344371
29,173.4,179,0.9687150838,172.73,170,1.016058824,172.2,152,1.132894737,172,153,1.121176471,171.34,154,1.112597403,170.89,151,1.131721854
30,173.13,176,0.9836931818,172.46,165,1.045212121,171.86,153,1.123267974,171.41,160,1.0713125,171.07,170,1.006294118,170.56,156,1.093333333
