ID,Year,Pick,Team,Player,Nationality,Position,Age,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes
226,2021,1,Buffalo Sabres,Owen Power,CA,D,18,8,262,333,595,-67,200
227,2021,2,Seattle Kraken,Matthew Beniers,US,C,18,10,262,411,673,-87,1556
228,2021,3,Anaheim Ducks,Mason Mctavish,CH,C,18,9,261,308,569,-12,470
230,2021,5,Columbus Blue Jackets,Kent Johnson,CA,C,18,9,261,336,597,-24,438
232,2021,7,San Jose Sharks,William Eklund,SE,LW,18,9,260,249,509,-17,584
236,2021,12,Columbus Blue Jackets,Cole Sillinger,US,C,18,79,259,337,596,104,422
284,2021,60,Arizona Coyotes,Janis Moser,CH,D,21,43,240,432,672,17,136
449,2020,1,New York Rangers,Alexis Lafreniere,CA,LW,18,135,185,298,483,14,498
450,2020,2,Los Angeles Kings,Quinton Byfield,CA,C,18,46,185,763,948,351,2891
451,2020,3,Ottawa Senators,Tim Stützle,DE,LW,18,132,185,286,471,213,1542
452,2020,4,Detroit Red Wings,Lucas Raymond,SE,LW,18,82,184,321,505,-133,427
454,2020,6,Anaheim Ducks,Jamie Drysdale,CA,D,18,105,184,238,422,5,454
455,2020,7,New Jersey Devils,Alexander Holtz,SE,RW,18,9,183,222,405,-101,246
456,2020,8,Buffalo Sabres,Jack Quinn,CA,RW,18,2,183,423,606,36,311
457,2020,9,Minnesota Wild,Marco Rossi,AT,C,18,2,182,219,401,72,172
458,2020,10,Winnipeg Jets,Cole Perfetti,CA,C,18,18,182,181,363,-28,595
460,2020,12,Florida Panthers,Anton Lundell,FI,C,18,65,182,321,503,-66,528
461,2020,13,Carolina Hurricanes,Seth Jarvis,CA,C,18,68,181,268,449,23,162
465,2020,17,Chicago Blackhawks,Lukas Reichel,DE,LW,18,11,181,575,756,-1,655
466,2020,18,New Jersey Devils,Dawson Mercer,CA,C,18,82,181,200,381,-40,1417
467,2020,19,New York Rangers,Braden Schneider,CA,D,18,43,181,259,440,119,1069
469,2020,21,Columbus Blue Jackets,Yegor Chinakhov,RU,RW,19,62,181,282,463,71,512
470,2020,22,Washington Capitals,Hendrix Lapierre,CA,C,18,6,180,280,460,82,277
473,2020,25,Colorado Avalanche,Justin Barron,CA,D,18,7,180,243,423,-113,111
474,2020,26,St. Louis Blues,Jake Neighbours,CA,LW,18,9,179,297,476,107,183
475,2020,27,Anaheim Ducks,Jacob Perreault,CA,RW,18,1,179,191,370,-59,693
482,2020,34,Buffalo Sabres,John-Jason Peterka,DE,RW,18,2,177,350,527,8,480
486,2020,38,San Jose Sharks,Thomas Bordeleau,US,C,18,8,177,259,436,-9,285
531,2020,84,New Jersey Devils,Nicolas Daws,DE,G,19,25,164,167,331,-41,309
588,2020,141,Chicago Blackhawks,Isaak Phillips,CA,D,18,4,149,209,358,9,374
628,2020,181,Ottawa Senators,Cole Reinhardt,CA,LW,20,1,141,193,334,-96,573
648,2020,201,San Jose Sharks,Adam Raska,CZ,RW,18,5,137,123,260,2,497
665,2019,1,New Jersey Devils,Jack Hughes,US,C,18,166,132,435,567,33,691
666,2019,2,New York Rangers,Kaapo Kakko,FI,RW,18,157,132,461,593,100,290
667,2019,3,Chicago Blackhawks,Kirby Dach,CA,C,18,152,132,110,242,4,210
668,2019,4,Colorado Avalanche,Bowen Byram,CA,D,18,49,132,239,371,-66,173
669,2019,5,Los Angeles Kings,Alex Turcotte,US,C,18,8,132,382,514,22,873
670,2019,6,Detroit Red Wings,Moritz Seider,DE,D,18,82,131,214,345,29,263
671,2019,7,Buffalo Sabres,Dylan Cozens,CA,C,18,120,131,130,261,-11,177
672,2019,8,Edmonton Oilers,Philip Broberg,SE,D,18,23,131,300,431,-55,300
673,2019,9,Anaheim Ducks,Trevor Zegras,US,C,18,99,130,227,357,40,376
674,2019,10,Vancouver Canucks,Vasily Podkolzin,RU,RW,18,79,130,132,262,-32,636
675,2019,11,Arizona Coyotes,Victor Soderstrom,SE,D,18,20,130,133,263,25,371
676,2019,12,Minnesota Wild,Matthew Boldy,US,LW,18,47,130,153,283,-78,976
677,2019,13,Florida Panthers,Spencer Knight,US,G,18,36,130,155,285,-32,584
678,2019,14,Philadelphia Flyers,Cameron York,US,D,18,33,130,128,258,-24,646
679,2019,15,Montreal Canadiens,Cole Caufield,US,RW,18,77,130,274,404,-13,172
680,2019,16,Colorado Avalanche,Alex Newhook,CA,C,18,77,129,388,517,104,299
681,2019,17,Vegas Golden Knights,Peyton Krebs,CA,C,18,61,129,167,296,-52,462
682,2019,18,Dallas Stars,Thomas Harley,US,D,18,34,129,171,300,70,398
683,2019,19,Ottawa Senators,Lassi Thomson,FI,D,18,16,129,198,327,-176,186
684,2019,20,Winnipeg Jets,Ville Heinola,FI,D,18,25,129,179,308,49,273
686,2019,22,Los Angeles Kings,Tobias Bjornfot,SE,D,18,106,129,187,316,5,749
688,2019,24,Nashville Predators,Philip Tomasino,CA,C,18,76,128,141,269,-38,1040
689,2019,25,Washington Capitals,Connor McMichael,CA,C,18,69,128,132,260,18,867
691,2019,27,Tampa Bay Lightning,Nolan Foote,US,LW,18,13,128,164,292,53,137
693,2019,29,Anaheim Ducks,Brayden Tracey,CA,LW,18,1,127,211,338,-43,574
696,2019,32,Ottawa Senators,Shane Pinto,US,C,18,17,127,161,288,-21,2248
697,2019,33,Los Angeles Kings,Arthur Kaliyev,UZ,RW,18,81,127,178,305,-61,721
698,2019,34,Philadelphia Flyers,Bobby Brink,US,RW,18,10,127,147,274,-43,276
700,2019,36,Carolina Hurricanes,Pyotr Kochetkov,RU,G,20,3,126,233,359,20,344
701,2019,37,Ottawa Senators,Mads Sogaard,DK,G,18,2,125,171,296,5,312
704,2019,40,Vancouver Canucks,Nils Hoglander,SE,LW,18,116,125,172,297,-33,599
705,2019,41,Vegas Golden Knights,Kaedan Korczak,CA,D,18,1,124,159,283,17,217
707,2019,43,Chicago Blackhawks,Alex Vlasic,US,D,18,15,124,141,265,-13,64
712,2019,48,San Jose Sharks,Artemi Kniazev,RU,D,18,1,123,172,295,61,127
714,2019,50,Los Angeles Kings,Samuel Fagemo,SE,LW,19,4,123,317,440,23,736
716,2019,52,Florida Panthers,Vladislav Kolyachonok,BY,D,18,32,122,136,258,9,375
717,2019,53,Toronto Maple Leafs,Nicholas Robertson,US,LW,18,16,121,135,256,-11,88
720,2019,56,Washington Capitals,Brett Leason,CA,RW,20,36,121,114,235,-57,379
725,2019,61,New Jersey Devils,Nikita Okhotyuk,RU,D,18,5,120,335,455,11,109
728,2019,64,Montreal Canadiens,Mattias Norlinder,SE,D,19,6,119,227,346,-29,330
732,2019,68,New York Rangers,Zachary Jones,US,D,18,22,118,144,262,-44,398
735,2019,71,Tampa Bay Lightning,Hugo Alnefelt,SE,G,18,1,117,232,349,45,256
736,2019,72,Philadelphia Flyers,Ronald Attard,US,D,20,15,117,454,571,35,654
739,2019,75,Minnesota Wild,Adam Beckman,CA,LW,18,3,117,141,258,53,765
743,2019,79,Vegas Golden Knights,Pavel Dorofeyev,RU,LW,18,2,116,131,247,24,573
745,2019,81,Florida Panthers,Cole Schwindt,CA,RW,18,3,116,159,275,-37,518
755,2019,91,Washington Capitals,Aliaksei Protas,BY,C,18,33,115,138,253,-130,624
758,2019,94,Ottawa Senators,Viktor Lodin,SE,C,20,1,114,182,296,-45,342
759,2019,95,Los Angeles Kings,Jordan Spence,AU,D,18,24,114,180,294,-71,309
760,2019,96,New Jersey Devils,Tyce Thompson,US,RW,20,9,114,354,468,76,620
762,2019,98,Arizona Coyotes,Matias Maccelli,FI,LW,18,23,114,191,305,-58,942
788,2019,124,Toronto Maple Leafs,Nicholas Abruzzese,US,C,20,9,110,146,256,-25,278
789,2019,125,Ottawa Senators,Mark Kastelic,US,C,20,16,110,186,296,119,293
848,2019,184,San Jose Sharks,Santeri Hatakka,FI,D,18,9,101,70,171,-8,315
865,2019,201,Montreal Canadiens,Rafael Harvey-Pinard,CA,LW,20,4,100,156,256,-52,675
867,2019,203,Pittsburgh Penguins,Valtteri Puustinen,FI,RW,20,1,99,168,267,17,113
882,2018,1,Buffalo Sabres,Rasmus Dahlin,SE,D,18,277,98,160,258,39,673
883,2018,2,Carolina Hurricanes,Andrei Svechnikov,RU,RW,18,283,98,238,336,-113,568
884,2018,3,Montreal Canadiens,Jesperi Kotkaniemi,FI,C,18,237,97,124,221,20,48
885,2018,4,Ottawa Senators,Brady Tkachuk,US,LW,18,277,97,194,291,72,334
886,2018,5,Arizona Coyotes,Barrett Hayton,CA,C,18,94,97,90,187,29,85
