PLAYER,TEAM,GP,PTS
Aaron Gordon,ORL,62,14.4
Aaron Holiday,IND,66,9.5
Abdel Nader,OKC,55,6.3
Adam Mokoka,CHI,11,2.9
Admiral Schofield,WAS,33,3
Al Horford,PHI,67,11.9
Al-Farouq Aminu,ORL,18,4.3
Alec Burks,PHI,66,15
Alen Smailagic,GSW,14,4.2
Alex Caruso,LAL,64,5.5
Alex Len,SAC,55,8
Alfonzo McKinnie,CLE,40,4.6
Alize Johnson,IND,17,2
Allen Crabbe,MIN,37,4.6
Allonzo Trier,NYK,24,6.5
Amile Jefferson,ORL,18,0.8
Amir Coffey,LAC,18,3.2
Andre Drummond,CLE,57,17.7
Andre Iguodala,MIA,21,4.6
Andre Roberson,OKC,7,2.9
Andrew Wiggins,GSW,54,21.8
Anfernee Simons,POR,70,8.3
Ante Zizic,CLE,22,4.4
Anthony Davis,LAL,62,26.1
Anthony Tolliver,MEM,55,3.6
Antonius Cleveland,DAL,11,1
Anzejs Pasecniks,WAS,27,5.8
Aron Baynes,PHX,42,11.5
Austin Rivers,HOU,68,8.8
Avery Bradley,LAL,49,8.6
BJ Johnson,ORL,10,3
Bam Adebayo,MIA,72,15.9
Ben McLemore,HOU,71,10.1
Ben Simmons,PHI,57,16.4
Bismack Biyombo,CHA,53,7.4
Blake Griffin,DET,18,15.5
Boban Marjanovic,DAL,44,6.6
Bobby Portis,NYK,66,10.1
Bogdan Bogdanovic,SAC,61,15.1
Bojan Bogdanovic,UTA,63,20.2
Bol Bol,DEN,7,5.7
Brad Wanamaker,BOS,71,6.9
Bradley Beal,WAS,57,30.5
Brandon Clarke,MEM,58,12.1
Brandon Goodwin,ATL,34,6.1
Brandon Ingram,NOP,62,23.8
Brandon Knight,DET,25,7.3
Brian Bowen II,IND,6,1
Brook Lopez,MIL,68,12
Bruce Brown,DET,58,8.9
Bruno Caboclo,HOU,30,3
Bruno Fernando,ATL,56,4.3
Bryn Forbes,SAS,63,11.2
Buddy Hield,SAC,72,19.2
CJ McCollum,POR,70,22.2
