FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Precious,Achiuwa,TOR,23,6,8,80,225,Memphis,Nigeria,2020,1,20,55,30,25,20.7,9.2,3.6,7.3,48.5,0.5,2,26.9,1.6,2.3,70.2,1.8,4.1,6,0.9,1.1,0.6,0.5,1.9,20,10,0,-0.7,-1.6,8.3,21.3,19,55.4,6.3
Steven,Adams,MEM,29,6,11,83,265,Pittsburgh,New Zealand,2013,1,12,42,28,14,27,8.6,3.7,6.3,59.7,0,0,0,1.1,3.1,36.4,5.1,6.5,11.5,2.3,1.9,0.9,1.1,2.3,29.9,15,0,5.8,9.7,17.1,22.2,13.9,56.4,10.7
Bam,Adebayo,MIA,25,6,9,81,255,Kentucky,USA,2017,1,14,75,40,35,34.6,20.4,8,14.9,54,0,0.2,8.3,4.3,5.4,80.6,2.5,6.7,9.2,3.2,2.5,1.2,0.8,2.8,39.7,31,0,1.6,1.8,7.3,20.6,25.1,59.2,15.4
Ochai,Agbaji,UTA,23,6,5,77,215,Kansas,USA,2022,1,14,59,29,30,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.7,0.3,0.3,1.7,13,0,0,-0.3,-0.2,3.4,5.8,15.4,56.1,7.2
Santi,Aldama,MEM,22,7,1,85,215,Loyola-Maryland,Spain,2021,1,30,77,47,30,21.8,9,3.2,6.8,47,1.2,3.5,35.3,1.4,1.9,75,1.1,3.7,4.8,1.3,0.8,0.6,0.6,1.9,19.6,4,0,1.2,2.6,4.7,16.2,15.7,59.1,7.6
Nickeil,Alexander-Walker,MIN,24,6,5,77,205,Virginia Tech,Canada,2019,1,17,59,29,30,15,6.2,2.2,5,44.4,1,2.7,38.4,0.7,1,66.7,0.3,1.5,1.7,1.8,0.9,0.5,0.4,1.5,12.7,0,0,-0.9,-2,1.7,9.5,17.7,56.5,16.8
Grayson,Allen,MIL,27,6,4,76,198,Duke,USA,2018,1,21,72,53,19,27.4,10.4,3.4,7.7,44,2,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,1,0.9,0.2,1.6,19.9,0,0,3.2,4.9,3,8.2,14.3,61.2,10.7
Jarrett,Allen,CLE,25,6,9,81,243,Texas,USA,2017,1,22,68,44,24,32.6,14.3,5.9,9.2,64.4,0,0.1,10,2.4,3.3,73.3,3.3,6.5,9.8,1.7,1.4,0.8,1.2,2.3,33.2,32,0,5.1,7.7,10.7,21,16.2,67,7.3
Jose,Alvarado,NOP,25,6,1,73,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,61,30,31,21.5,9,3.3,8,41.1,1.4,4,33.6,1.1,1.3,81.3,0.5,1.9,2.3,3,1.3,1.1,0.2,2,18.8,0,0,1.7,3.7,2.2,8.7,19.1,52.5,19.9
Kyle,Anderson,MIN,29,6,9,81,230,UCLA,USA,2014,1,30,69,36,33,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41,1.4,2,73.5,1,4.4,5.3,4.9,1.5,1.1,0.9,2.1,27.7,10,3,1.3,2.3,3.5,15.2,14.3,58.3,22.5
Giannis,Antetokounmpo,MIL,28,7,1,85,243,None,Greece,2013,1,15,63,47,16,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46,6,5.4,7.2,6.5,26.8,37.3,60.5,31.4
Thanasis,Antetokounmpo,MIL,30,6,7,79,219,None,Greece,2014,2,51,37,25,12,5.6,1.4,0.5,1.2,43.5,0,0.2,0,0.3,0.6,50,0.4,0.8,1.2,0.4,0.3,0.1,0.1,0.6,3.6,0,0,-3.1,-26.6,7.5,13.9,13.8,45.8,11.5
Cole,Anthony,ORL,23,6,3,75,185,North Carolina,USA,2020,1,15,60,28,32,25.9,13,4.6,10.2,45.4,1.3,3.4,36.4,2.5,2.8,89.4,0.8,4,4.8,3.9,1.5,0.6,0.5,2.6,26.5,1,0,-0.4,-0.1,3,15.2,20.9,57,22.8
O.G.,Anunoby,TOR,25,6,7,79,232,Indiana,United Kingdom,2017,1,23,67,33,34,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5,2,2,1.9,0.7,3,31.7,2,0,2,3,3.7,11,19.2,58.6,8
Ryan,Arcidiacono,POR,29,6,3,75,195,Villanova,USA,Undrafted,Undrafted,Undrafted,20,9,11,8.6,1.3,0.5,1.9,24.3,0.4,1.2,34.8,0,0,0,0,0.8,0.8,1.2,0.4,0.3,0,0.9,4.3,0,0,-2,-12.8,0,9,10.6,35.1,19.5
Deni,Avdija,WAS,22,6,9,81,210,None,Israel,2020,1,9,76,33,43,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1,5.4,6.4,2.8,1.6,0.9,0.4,2.8,23.1,11,0,-0.7,-0.8,3.8,19.6,16.5,53.5,14.2
Deandre,Ayton,PHX,24,7,1,85,250,Arizona,Bahamas,2018,1,1,67,36,31,30.4,18,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3,76,2.6,7.4,10,1.7,1.8,0.6,0.8,2.8,34.7,36,0,-0.1,0,8.4,24.7,23.1,61.7,9
Udoka,Azubuike,UTA,23,6,11,83,270,Kansas,Nigeria,2020,1,27,36,17,19,10,3.5,1.6,2,81.9,0,0,0,0.2,0.6,35,0.9,2.4,3.3,0.3,0.5,0.2,0.4,0.9,9.1,0,0,-2.3,-11.7,8.2,22.4,11.3,77.4,4.3
Marvin,Bagley III,DET,24,6,10,82,235,Duke,USA,2018,1,2,42,7,35,23.6,12,4.8,9.1,52.9,0.5,1.6,28.8,1.9,2.6,75,2.2,4.2,6.4,0.9,1.1,0.5,0.7,1.9,23.4,8,0,-5.5,-10.6,9.1,17.9,20.2,58.7,5.8
Patrick,Baldwin,GSW,20,6,9,81,220,Wisconsin-Milwaukee,USA,2022,1,28,31,15,16,7.3,3.9,1.4,3.5,39.4,1,2.7,38.1,0.1,0.2,66.7,0,1.3,1.3,0.4,0.4,0.2,0.1,0.5,6.6,0,0,-1.6,-12.3,0.4,18.8,22.7,54.6,8.3
LaMelo,Ball,CHA,21,6,7,79,180,None,USA,2020,1,3,36,13,23,35.2,23.3,8.2,20,41.1,4,10.6,37.6,2.8,3.4,84.3,1.2,5.3,6.4,8.4,3.6,1.3,0.3,3.3,44.8,17,3,-4.2,-4.7,3.1,14.7,28.9,54.1,35.2
Mo,Bamba,LAL,25,7,1,85,231,Texas,USA,2018,1,6,49,25,24,15.7,6.6,2.4,4.9,48.5,1,2.5,38.7,0.8,1.3,66.1,1.2,3.4,4.6,0.9,0.6,0.3,0.9,2.1,16.3,2,0,0.2,1.5,7.6,19.8,16.6,60.2,8.6
Paolo,Banchero,ORL,20,6,10,82,250,Duke,USA,2022,1,1,72,31,41,33.7,20,6.7,15.6,42.7,1.2,4,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,2.8,0.8,0.5,2.2,35.2,14,0,-3,-4.2,3.5,17.4,27.2,52.9,17.1
Desmond,Bane,MEM,25,6,5,77,215,TCU,USA,2020,1,30,58,38,20,31.7,21.5,7.8,16.2,47.9,2.9,7,40.8,3.1,3.5,88.3,0.7,4.3,5,4.4,2.2,1,0.4,2.6,36,1,0,6.1,9,2.2,12.3,25.2,60.6,20.2
Dalano,Banton,TOR,23,6,7,79,204,Nebraska,Canada,2021,2,46,31,17,14,9,4.6,1.8,4.2,42.3,0.5,1.6,29.4,0.5,0.8,70.8,0.4,1.1,1.5,1.2,0.6,0.4,0.4,1.1,10,0,0,-1.1,-6.5,3.6,13,22.9,50.5,20.2
Dominick,Barlow,SAS,20,6,9,81,215,None,USA,Undrafted,Undrafted,Undrafted,28,5,23,14.6,3.9,1.6,3.1,53.5,0,0.1,0,0.6,0.9,72,1.6,2,3.6,0.9,0.5,0.4,0.7,2,12.2,2,0,-3.9,-10.7,10,13.1,10.7,56.7,7.9
Harrison,Barnes,SAC,31,6,8,80,225,North Carolina,USA,2012,1,7,82,48,34,32.5,15,4.6,9.6,47.3,1.6,4.3,37.4,4.3,5,84.7,1.1,3.4,4.5,1.6,1,0.7,0.1,1.3,24.1,0,0,3.1,4.8,3.4,10.7,16.8,63.2,6.3
Scottie,Barnes,TOR,21,6,8,80,225,Florida State,USA,2021,1,4,77,38,39,34.8,15.3,6,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,2,1.1,0.8,2.2,34.1,15,1,2.3,3.2,6.3,13.5,20,52.4,19.5
RJ,Barrett,NYK,23,6,6,78,214,Duke,Canada,2019,1,3,73,40,33,33.9,19.6,7,16.1,43.4,1.7,5.3,31,4,5.4,74,0.8,4.2,5,2.8,2.2,0.4,0.2,2.5,29.4,3,0,-0.8,-1.2,2.3,12.1,25.6,53.1,12.4
Will,Barton,TOR,32,6,5,77,181,Memphis,USA,2012,2,40,56,27,29,17.7,6.8,2.5,6.5,37.9,1.2,3.2,36.7,0.7,0.8,78.7,0.3,2.2,2.4,2,0.9,0.5,0.2,1,14,0,0,-3,-8.4,1.4,12.5,18.2,49.3,16.2
Charles,Bassey,SAS,22,6,9,81,230,Western Kentucky,Nigeria,2021,2,53,35,9,26,14.5,5.7,2.5,3.9,64.4,0.1,0.2,37.5,0.6,1.1,59.5,2.1,3.4,5.5,1.4,1.2,0.5,0.9,2.1,17.4,0,0,-0.9,-2.4,14,23.2,15.2,65.8,13.1
Keita,Bates-Diop,SAS,27,6,8,80,229,Ohio State,USA,2018,2,48,67,18,49,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1,2.7,3.7,1.5,0.8,0.7,0.3,0.9,18.5,0,0,-4,-8.5,4.2,13,16.5,60.9,9.9
Nicolas,Batum,LAC,34,6,8,80,230,None,France,2008,1,25,78,44,34,21.9,6.1,2.1,4.9,42,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3,3.8,1.6,0.6,0.7,0.6,1.9,16.2,0,0,2.1,4.5,3.6,13.5,11.1,59.4,9.5
Darius,Bazley,PHX,23,6,9,81,216,None,USA,2019,1,23,43,19,24,14.3,5.2,1.9,4.3,45.4,0.5,1.2,37.7,0.9,1.6,54.3,0.8,2.4,3.2,0.9,0.6,0.5,0.8,1,13.7,0,0,-1.6,-3.6,5.3,15.7,16.5,52.4,8.8
Bradley,Beal,WAS,30,6,4,76,207,Florida,USA,2012,1,3,50,24,26,33.5,23.2,8.9,17.6,50.6,1.6,4.4,36.5,3.8,4.6,84.2,0.8,3.1,3.9,5.4,2.9,0.9,0.7,2.1,37.8,2,0,0.8,0.7,2.6,9.1,28.8,59.3,26
