satisfaction,Gender,CustomerType,Age,TypeofTravel,Class,FlightDistance,DepartureDelayinMinutes,ArrivalDelayinMinutes
dissatisfied,Female,LoyalCustomer,47,PersonalTravel,Eco,3113,1592,1584
satisfied,Male,LoyalCustomer,32,Businesstravel,Business,4425,1305,1280
dissatisfied,Male,LoyalCustomer,8,PersonalTravel,Eco,3017,1128,1115
satisfied,Male,LoyalCustomer,49,Businesstravel,Business,3792,1017,1011
dissatisfied,Male,LoyalCustomer,30,PersonalTravel,Eco,3468,978,970
dissatisfied,Female,LoyalCustomer,53,Businesstravel,Business,4198,930,952
dissatisfied,Female,LoyalCustomer,39,Businesstravel,Business,3549,951,940
dissatisfied,Male,disloyalCustomer,43,Businesstravel,Business,2478,921,924
satisfied,Male,LoyalCustomer,47,Businesstravel,Business,3835,933,920
satisfied,Male,LoyalCustomer,27,Businesstravel,Business,3623,859,860
dissatisfied,Male,LoyalCustomer,15,Businesstravel,Business,5865,853,823
dissatisfied,Female,LoyalCustomer,42,Businesstravel,Business,2668,815,822
dissatisfied,Female,LoyalCustomer,45,PersonalTravel,Eco,2460,794,795
dissatisfied,Female,LoyalCustomer,24,Businesstravel,Business,4391,756,748
satisfied,Male,LoyalCustomer,23,Businesstravel,Eco,2563,750,729
dissatisfied,Female,LoyalCustomer,30,Businesstravel,Business,4124,748,720
dissatisfied,Male,LoyalCustomer,29,Businesstravel,Business,2895,729,717
dissatisfied,Female,LoyalCustomer,7,PersonalTravel,Eco,1990,724,705
dissatisfied,Female,LoyalCustomer,42,PersonalTravel,Business,2256,692,702
dissatisfied,Male,LoyalCustomer,33,PersonalTravel,Eco,2832,726,691
dissatisfied,Female,disloyalCustomer,39,Businesstravel,Eco,2431,652,638
dissatisfied,Female,LoyalCustomer,65,PersonalTravel,Eco,2118,514,624
satisfied,Female,LoyalCustomer,43,Businesstravel,Business,3882,624,615
dissatisfied,Female,LoyalCustomer,45,PersonalTravel,Eco,2151,590,608
dissatisfied,Male,LoyalCustomer,48,PersonalTravel,Eco,4318,626,604
dissatisfied,Male,disloyalCustomer,38,Businesstravel,Eco,2935,566,600
satisfied,Male,LoyalCustomer,35,Businesstravel,Business,2592,610,593
satisfied,Female,LoyalCustomer,18,Businesstravel,Business,2558,595,589
satisfied,Male,LoyalCustomer,30,Businesstravel,Business,3307,600,589
dissatisfied,Male,LoyalCustomer,69,Businesstravel,Business,1885,565,586
satisfied,Female,LoyalCustomer,47,Businesstravel,Business,5091,581,580
dissatisfied,Male,LoyalCustomer,64,PersonalTravel,EcoPlus,3794,570,567
dissatisfied,Male,LoyalCustomer,50,PersonalTravel,Eco,3106,579,561
satisfied,Male,LoyalCustomer,45,Businesstravel,Eco,1970,559,555
dissatisfied,Female,disloyalCustomer,35,Businesstravel,Eco,3907,569,543
dissatisfied,Male,LoyalCustomer,21,Businesstravel,Eco,1820,537,524
dissatisfied,Male,LoyalCustomer,17,Businesstravel,EcoPlus,2253,437,518
dissatisfied,Male,LoyalCustomer,14,PersonalTravel,Eco,2103,519,516
dissatisfied,Female,LoyalCustomer,21,Businesstravel,Business,3648,503,507
dissatisfied,Male,LoyalCustomer,15,Businesstravel,Business,3798,463,503
satisfied,Male,LoyalCustomer,34,Businesstravel,Business,4451,454,502
satisfied,Male,LoyalCustomer,41,Businesstravel,Business,5382,501,500
satisfied,Female,LoyalCustomer,43,Businesstravel,Eco,2089,469,493
satisfied,Male,LoyalCustomer,33,Businesstravel,Business,3553,465,493
dissatisfied,Male,LoyalCustomer,10,PersonalTravel,Eco,1844,489,491
satisfied,Female,disloyalCustomer,20,Businesstravel,Eco,2276,505,486
dissatisfied,Male,disloyalCustomer,26,Businesstravel,Eco,2223,491,485
satisfied,Male,LoyalCustomer,36,Businesstravel,Eco,2668,531,485
satisfied,Female,LoyalCustomer,26,Businesstravel,Business,3894,493,485
dissatisfied,Male,disloyalCustomer,22,Businesstravel,Eco,2055,503,484
dissatisfied,Male,disloyalCustomer,23,Businesstravel,Eco,2149,499,473
dissatisfied,Male,LoyalCustomer,40,Businesstravel,Business,5521,480,471
satisfied,Male,LoyalCustomer,46,Businesstravel,Business,3218,480,471
dissatisfied,Female,LoyalCustomer,51,PersonalTravel,Eco,2577,496,470
satisfied,Male,LoyalCustomer,32,Businesstravel,Business,2835,435,470
satisfied,Female,LoyalCustomer,21,Businesstravel,Business,4547,450,470
dissatisfied,Male,disloyalCustomer,21,Businesstravel,Eco,1975,419,460
satisfied,Female,disloyalCustomer,26,Businesstravel,Eco,2192,412,459
dissatisfied,Female,LoyalCustomer,20,PersonalTravel,Eco,2464,454,458
dissatisfied,Female,LoyalCustomer,39,Businesstravel,Business,4033,460,457
dissatisfied,Female,LoyalCustomer,39,PersonalTravel,Eco,2411,433,455
dissatisfied,Male,LoyalCustomer,13,PersonalTravel,Eco,3956,454,454
satisfied,Female,LoyalCustomer,58,Businesstravel,Eco,2584,454,448
dissatisfied,Male,LoyalCustomer,32,PersonalTravel,Eco,2746,472,446
dissatisfied,Male,LoyalCustomer,9,PersonalTravel,Eco,3292,448,445
dissatisfied,Male,disloyalCustomer,25,Businesstravel,Eco,1850,459,445
satisfied,Male,disloyalCustomer,26,Businesstravel,Business,2914,452,444
dissatisfied,Male,LoyalCustomer,31,PersonalTravel,EcoPlus,3352,469,443
satisfied,Female,LoyalCustomer,17,PersonalTravel,Eco,2748,427,440
dissatisfied,Male,LoyalCustomer,57,Businesstravel,Eco,2841,452,440
satisfied,Male,disloyalCustomer,39,Businesstravel,Business,2201,430,438
dissatisfied,Male,LoyalCustomer,59,Businesstravel,EcoPlus,1785,447,438
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,5359,438,438
satisfied,Male,LoyalCustomer,60,Businesstravel,Business,3595,381,436
dissatisfied,Female,LoyalCustomer,65,PersonalTravel,Eco,3172,401,435
satisfied,Female,LoyalCustomer,34,Businesstravel,Business,4209,410,435
dissatisfied,Female,LoyalCustomer,28,Businesstravel,Business,4451,444,434
dissatisfied,Male,disloyalCustomer,36,Businesstravel,Eco,2141,447,433
dissatisfied,Male,LoyalCustomer,40,PersonalTravel,Eco,1899,399,432
dissatisfied,Female,LoyalCustomer,41,PersonalTravel,Eco,2782,446,431
dissatisfied,Male,LoyalCustomer,22,PersonalTravel,EcoPlus,2973,437,429
dissatisfied,Female,LoyalCustomer,26,PersonalTravel,Eco,2415,426,427
dissatisfied,Male,disloyalCustomer,25,Businesstravel,Eco,2062,411,425
dissatisfied,Female,disloyalCustomer,13,Businesstravel,Business,2533,378,424
dissatisfied,Female,disloyalCustomer,25,Businesstravel,EcoPlus,2925,218,422
dissatisfied,Male,LoyalCustomer,45,Businesstravel,Business,2185,389,420
