YEAR,MONTH,FAILURES,CPI,TOTAL.ASSETS,ADJTA
2014,Jan,3,233.9,14121,14121
2014,Feb,2,234.8,14257,14202.3
2014,Mar,0,236.3,14339.7,14194.1
2014,Apr,1,237,14393,14204.7
2014,May,3,237.9,14517.8,14273.7
2014,Jun,3,238.3,14651.9,14381.3
2014,Jul,2,238.2,14776.1,14509.3
2014,Aug,0,237.8,14852.9,14609.3
2014,Sep,0,238,14933.3,14676.1
2014,Oct,2,237.4,14975,14754.2
2014,Nov,1,236.2,15082.7,14935.8
2014,Dec,1,234.8,15049.6,14991.9
2015,Jan,2,233.7,15213.5,15226.5
2015,Feb,2,234.7,15264,15212
2015,Mar,0,236.1,15346.2,15203.2
2015,Apr,0,236.6,15362.7,15187.4
2015,May,1,237.8,15339.2,15087.6
2015,Jun,0,238.6,15304.3,15002.8
2015,Jul,1,238.6,15360.8,15058.2
2015,Aug,0,238.3,15465.3,15179.8
2015,Sep,0,237.9,15402.3,15143.3
2015,Oct,2,237.8,15594.7,15339
2015,Nov,0,237.3,15640.1,15416.1
2015,Dec,0,236.5,15575.3,15404.1
2016,Jan,0,236.9,15661.6,15463.3
2016,Feb,0,237.1,15745.8,15533.3
2016,Mar,1,238.1,15729.5,15452
2016,Apr,1,239.3,15823.7,15466.6
2016,May,1,240.2,15881.6,15465
2016,Jun,0,241,15930.1,15460.8
2016,Jul,0,240.6,16013.1,15567.2
2016,Aug,1,240.8,16094.4,15633.2
2016,Sep,1,241.1,16078.9,15598.7
2016,Oct,0,241.7,16029.8,15512.5
2016,Nov,0,241.4,16105,15604.6
2016,Dec,0,241.4,16078.1,15578.5
2017,Jan,2,242.8,16105.5,15515.2
2017,Feb,0,243.6,16196.7,15551.8
2017,Mar,1,243.8,16218.5,15559.9
2017,Apr,1,244.5,16225.9,15522.5
2017,May,2,244.7,16236.6,15520
2017,Jun,0,245,16254.4,15518
2017,Jul,0,244.8,16357.5,15629.1
2017,Aug,0,245.5,16523.7,15743
2017,Sep,0,246.8,16539.9,15675.4
2017,Oct,1,246.7,16588.3,15727.6
2017,Nov,0,246.7,16748.3,15879.4
2017,Dec,1,246.5,16788.5,15930.3
