Index,Team,G,Offense,Defense,Margin,W-L
1,North Carolina,20,78.7,68.2,10.5,14
2,Duke,20,77.7,67.8,9.9,10
3,Wake Forest,20,77.5,71.7,5.8,2
4,Clemson,20,75.7,72.3,3.4,0
5,Pitt,20,72.3,70.5,1.8,2
6,Virginia Tech,20,75.4,74.2,1.3,0
7,Virginia,20,62.5,62.1,0.5,2
8,Florida State,20,76.5,77.2,-0.7,-2
9,NC State,20,73.4,74.7,-1.3,4
10,Boston College,20,72.2,75,-2.8,-4
11,Notre Dame,20,63.4,66.4,-3,-7
12,Syracuse,20,75.1,79,-3.9,-7
13,Miami,19,69.9,74.1,-4.1,-14
14,Georgia Tech,19,69.7,76.9,-7.3,-6
15,Louisville,20,69.6,80.3,-10.7,6
