College,Acceptance Rate,Average SAT,Average ACT,Cost,Aid Receiving,Undergraduates,Graduates,Asian,Graduation Rate,Publications,Citations,Total Staff
Harvard,0.3,1535,35,83538,0.72,9368,21263,0.14,0.98,578922,33603915,18311
MIT,0.4,1555,36,79850,0.79,4657,7201,0.21,0.95,267232,15260446,13513
Boston University,0.14,1425,33,82760,0.53,18459,18255,0.15,0.89,168778,6804959,9694
Tufts ,0.1,1500,34,84600,0.46,6815,6616,0.15,0.94,86778,3434457,4708
Massachusetts - Amherst,0.64,1370,31,33475,0.91,24391,7838,0.11,0.83,91068,3097413,6156
Northeastern,0.07,1495,34,81422,0.85,16302,13711,0.14,0.91,54991,1529381,5791
Boston College,0.17,1488,34,83746,0.53,9982,5305,0.1,0.91,38368,1084495,3851
Brandeis,0.39,1450,33,81914,0.68,3687,1894,0.14,0.87,26747,1131600,1688
Massachusetts - Boston,0.81,1190,27,34750,0.99,12221,3365,0.13,0.51,24198,520191,1878
WPI,0.57,1400,30,76040,0.97,5246,2062,0.1,0.89,18552,383157,1287
Massachusetts - Lowell,0.86,1259,28,32732,0.91,12389,4764,0.12,0.71,20042,382219,1882
Williams College,0.08,1525,35,81000,0.55,2169,53,0.13,0.95,8300,217576,1156
Amherst College,0.07,1485,34,67280,0.66,1898,0,0.14,0.92,10408,334435,1065
Smith College,0.23,1445,33,82134,0.74,2523,350,0.09,0.89,9138,158347,1204
Wellesley College,0.14,1490,34,83920,0.65,2447,0,0.22,0.9,9290,208936,1048
Clark University,0.5,1340,31,65266,0.97,2389,1381,0.05,0.76,10449,340491,778
Massachusetts - Dartmouth,0.96,1140,27,34519,0.98,5517,1940,0.04,0.55,8594,183673,1090
Babson,0.22,1430,32,77248,0.7,2761,1228,0.11,0.93,3833,122134,833
Mount Holyoke,0.4,1445,32,77678,0.83,2193,199,0.07,0.83,4803,98016,849
Suffolk,0.97,1190,27,65464,0.97,4381,2353,0.07,0.6,5780,86673,1073
Bentley,0.58,1339,30,77770,0.84,4131,1034,0.1,0.88,5490,105546,938
Simmons,0.76,1295,30,64548,1,1788,3922,0.06,0.74,4204,91817,789
Holy Cross,0.36,1345,30,76880,0.72,3083,0,0.04,0.91,4646,68772,1093
Emerson,0.43,1340,31,77370,0.83,4155,1736,0.05,0.77,1580,24978,949
Hampshire,0.69,1290,27,71374,1,508,0,0.02,0.6,1532,30910,273
