Year,US,USLin,USAge,USCar,USGas,PrivateMiles,PublicMiles
2012,70,3.48608344,37.4,21819,3.62,5046,55.17
2013,159,5.25396675,37.6,21751,3.51,5083,56.47
2014,193,5.78851832,37.7,21640,3.36,5158,57.01
2015,130,4.75073093,37.8,21365,2.43,5283,55.7
2016,152,5.13701166,37.9,20815,2.14,5412,56.32
2017,263,6.7571978,38,20004,2.42,5482,54.83
2018,369,8.00390529,38.2,20077,2.72,5546,53.83
2019,423,8.56956825,38.4,20278,2.6,5579,54.1
2020,416,8.49836585,38.6,20935,2.17,4935,31.55
2021,750,11.41088661,38.8,26500,3.01,5336,22.37
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
